,N12,anomaly_score
187,24.6,3.1835993874462787e-07
188,24.6,3.390576475137408e-07
189,24.4,1.6900407373565685e-07
190,24.4,3.609054670672407e-07
191,24.5,2.957377344126044e-07
192,24.5,2.7640593802669144e-07
193,24.3,2.744640306140411e-07
194,24.4,2.7860903040188845e-07
195,24.4,2.5596777997183295e-07
196,24.4,4.951983245682356e-07
197,24.4,1.2224168919328093e-06
198,24.4,1.2695823649044868e-06
199,24.5,1.2565669986752681e-06
200,24.5,1.2757752340109008e-06
201,24.6,1.6627835645044442e-06
202,24.5,2.8984595353831466e-06
203,24.5,5.056705063455347e-06
204,24.6,8.803655291877988e-06
205,25.3,1.4575139716699326e-05
206,26.4,2.2272626551078645e-05
207,28.3,2.886879380792351e-05
208,30.9,2.223015316205057e-05
209,34.5,2.056567999408898e-05
210,38.4,2.265129888101569e-05
211,37.5,2.6403587599976852e-05
212,37,2.966380770796917e-05
213,37,2.6200513140173243e-05
214,37.1,2.3054843807490677e-05
215,37.1,2.4516604106405993e-05
216,37.1,3.668476641283114e-05
217,37,7.060110758005944e-05
218,37,0.0001151028245111041
219,37,0.00013535209360948652
220,36.4,0.00013056107488218505
221,34.5,0.00011369515720016654
222,32.4,9.398456031439739e-05
223,30.4,7.571850294796345e-05
224,28.6,6.0748558459500224e-05
225,26.4,5.034530899361567e-05
226,25,4.200139578924844e-05
227,24.6,3.4713237079597725e-05
228,24.6,3.743375179710018e-05
229,24.6,7.442530816359483e-05
230,24.6,0.00012834798368666078
231,24.6,0.00015183183647660137
232,24.6,0.0001527024731639015
233,24.6,0.000147790476686116
234,24.6,0.00014561927602774194
235,24.6,0.00014780691917037903
236,24.6,0.00014980502534056583
237,24.6,0.00014779077582549593
238,24.6,0.00014159213842335205
239,24.6,0.00013143203935317427
240,24.6,0.00011733677055070224
241,24.6,0.00010167528299243056
242,24.6,8.735964069073177e-05
243,24.6,7.605122323350866e-05
244,24.6,6.807786824014617e-05
245,24.6,6.304380125499165e-05
246,24.6,6.024364051249176e-05
247,24.6,5.8941006314428e-05
248,24.6,5.86191063690622e-05
249,24.6,5.9273171684193215e-05
250,24.6,6.153958184740294e-05
251,24.6,6.597985936918072e-05
252,24.6,7.33153714295165e-05
253,24.6,8.424029654041654e-05
254,24.6,9.887181164713876e-05
255,24.6,0.00011614336696375016
256,24.6,0.0001335514643350244
257,24.6,0.00014761890273995437
258,24.6,0.0001540060927192055
259,24.6,0.00015065319933060817
260,24.6,0.00013895617389692028
261,24.6,0.00012720379522457304
262,24.5,0.00012569260995121123
263,24.6,0.00013004685194606402
264,24.6,0.00013505162852078811
265,24.6,0.0001272552678707184
266,24.6,8.147831100180358e-05
267,24.6,2.8270625388238102e-05
268,24.6,3.501966234054077e-05
269,24.6,6.864633672409859e-05
270,24.6,0.00010375998407108344
271,24.6,0.00013676394432671213
272,24.8,0.0001690077092646458
273,25.1,0.00020070945815664487
274,26.3,0.00023535437082189414
275,28,0.00027466736546277737
276,30.4,0.00030046779016190683
277,33.9,0.00027704925970650773
278,38.6,0.00015972657033225257
279,38.6,5.5826695624205946e-05
280,37.8,4.9697020259364955e-05
281,37.9,5.468154795384983e-05
282,38,6.253741875938967e-05
283,38,7.824089630215081e-05
284,38,9.572546124825276e-05
285,38,0.00010454770813272951
286,38,9.998490915319458e-05
287,38,8.655203283147728e-05
288,38,7.480258576608723e-05
289,38.1,7.32691312744782e-05
290,38.1,8.464800590812782e-05
291,38.3,0.00010489886218933986
292,38.3,0.00012634477999040605
293,38.1,0.00014090511049280607
294,38.1,0.00014837124054356554
295,38.1,0.00014895213383425698
296,38,0.00014441339058490765
297,36.4,0.00013744611127464168
298,34,0.00013057858981502246
299,31.5,0.0001239266260023575
300,29.3,0.00011681753384629179
301,26.8,0.00011036075435055803
302,25.3,0.00010750589051622406
303,24.8,0.00011196422412607099
304,24.5,0.0001269347829599976
305,24.5,0.0001505063231194148
306,24.5,0.0001757242156351646
307,24.6,0.00019581814599700653
308,24.5,0.00020768893085565399
309,24.6,0.0002112373088963837
310,24.6,0.00020890825130936985
311,24.6,0.00020468109033988657
312,24.6,0.00020147868150532933
313,24.6,0.00019934962195744532
314,24.6,0.0001968288758297243
315,24.6,0.00019271990974722986
316,24.6,0.00018605938552218593
317,24.6,0.00017816644837764795
318,24.6,0.00017102232161148034
319,24.6,0.00016605064879871012
320,24.6,0.00016411192884790982
321,24.6,0.00016550583997632096
322,24.6,0.00017010355000968147
323,24.6,0.00017733936978758802
324,24.6,0.0001859472570174825
325,24.6,0.00019377459645075756
326,24.6,0.00019885383206696972
327,24.6,0.00019994951996182841
328,24.6,0.00019832471946679142
329,24.6,0.00019791430349025418
330,24.6,0.0002021721634004603
331,24.8,0.00020493439777169442
332,24.6,0.00020162058918515857
333,24.6,0.00018967174186212965
334,24.8,0.000168816412810191
335,24.8,0.0001422242305474386
336,24.8,0.00011696826061258214
337,24.6,0.00010080312170668293
338,24.8,9.67865647675259e-05
339,24.6,0.00010076328389685418
340,24.8,0.0001062551796479072
341,24.8,0.00010888431223710082
342,24.6,0.00011012835515566977
343,24.8,0.0001171095246268461
344,24.8,0.00012661347487363805
345,24.8,0.00013491332787485266
346,24.8,0.00013901346373590417
347,24.6,0.00013605590229304187
348,24.8,0.00012480904263667547
349,24.6,0.00010831448197168303
350,24.6,9.158692133570678e-05
351,24.6,7.544283425597875e-05
352,24.6,5.794395553404552e-05
353,24.6,4.1133042483543214e-05
354,24.8,2.77256327688713e-05
355,24.6,1.8936406117386895e-05
356,24.8,1.4550856064166062e-05
357,24.8,1.3590075647273991e-05
358,24.8,1.5007050107929132e-05
359,24.6,1.728737203277042e-05
360,24.8,1.895071987823016e-05
361,24.8,2.0007902912677622e-05
362,24.8,2.0887783156786632e-05
363,24.6,2.172951337764406e-05
364,24.6,2.0726472676924068e-05
365,24.6,3.7473761275497175e-05
366,24.6,3.0871635371299e-05
367,24.6,1.983247562598045e-05
368,24.6,1.1955736183622001e-05
369,24.8,6.811959021413294e-06
370,24.6,3.7298726750512046e-06
371,24.6,2.1851949684181804e-06
372,24.8,1.3731799398675193e-06
373,24.8,1.0029271708678067e-06
374,24.8,8.432515770095961e-07
375,24.8,7.936274408759658e-07
376,24.8,7.970351026953537e-07
377,24.8,8.096752051045542e-07
378,24.6,8.56282531658259e-07
379,24.6,9.184310001408846e-07
380,24.6,9.366993152237768e-07
381,24.6,9.239499291213704e-07
382,24.6,9.32703414835423e-07
383,24.6,9.279430260855648e-07
384,24.6,8.840772363072347e-07
385,24.8,8.155761551664753e-07
386,24.8,7.423930558081437e-07
387,24.6,6.840064052937578e-07
388,24.6,6.212299819008393e-07
389,24.6,5.485973509911091e-07
390,24.6,4.897088100586089e-07
391,24.6,4.3533130544837206e-07
392,24.6,3.9183551858723575e-07
393,24.6,3.586335567407062e-07
394,24.8,3.185854013931788e-07
395,24.8,3.0096848679939114e-07
396,24.6,2.8662859485883985e-07
397,24.8,2.6427266941464467e-07
398,24.6,2.400602192587087e-07
399,24.6,2.3064307819176122e-07
400,24.6,2.274938508683988e-07
401,24.8,2.2238910069027895e-07
402,24.8,2.2128724330716665e-07
403,24.8,2.3534820070558737e-07
404,24.8,2.5502389178200247e-07
405,24.8,2.7068278829478487e-07
406,24.6,2.847428937080565e-07
407,24.8,3.0061535394310113e-07
408,24.8,3.479015804330743e-07
409,24.8,3.4565256712415504e-07
410,24.6,2.993571495135683e-07
411,24.6,2.603878311857599e-07
412,24.6,2.3259859849300568e-07
413,24.6,2.160566019426824e-07
414,24.6,2.2879447081347593e-07
415,24.6,2.547830679766605e-07
416,24.8,2.652219150967028e-07
417,24.8,2.7812302472174366e-07
418,24.8,2.5791413660325446e-07
419,24.6,2.6960678678467076e-07
420,24.6,2.9604804530070084e-07
421,24.6,3.062301656697741e-07
422,24.6,2.9064961382108123e-07
423,24.6,2.9757181696510315e-07
424,24.6,3.0327282274367207e-07
425,24.6,3.044648952954532e-07
426,24.8,3.092194709175544e-07
427,24.8,3.2072138700378616e-07
428,24.8,3.342997473287923e-07
429,24.8,3.5163201184129633e-07
430,24.6,3.440155857958871e-07
431,24.6,3.482994196390976e-07
432,24.6,3.3869441384837273e-07
433,24.6,3.5980590296080806e-07
434,24.6,3.734032177904467e-07
435,24.6,3.6374489431612034e-07
436,24.6,3.594044648558281e-07
437,24.6,3.5971264489287336e-07
438,24.6,3.6971000749730365e-07
439,24.6,3.840653439723951e-07
440,24.6,3.8106991306907645e-07
441,24.6,3.9017508546290713e-07
442,24.8,4.0005727941494484e-07
443,24.6,4.0765941133891204e-07
444,24.6,4.090210554696938e-07
445,24.6,4.136595160852963e-07
446,24.6,4.193161945442725e-07
447,24.6,4.207785193610647e-07
448,24.8,4.1845794784833856e-07
449,24.8,4.099086099440541e-07
450,24.8,4.0269640078083313e-07
451,24.8,3.972027210474849e-07
452,24.8,3.87794524381313e-07
453,24.8,3.657151571578865e-07
454,24.6,3.552433291975632e-07
455,24.6,3.6465622166304e-07
456,24.6,3.974391326044824e-07
457,24.6,4.3471809141326645e-07
458,24.6,4.818933699857197e-07
459,24.6,5.782741291371352e-07
460,24.8,6.921100543788583e-07
461,24.8,7.962986927623206e-07
462,24.8,7.907922734418094e-07
463,24.8,6.727248507143457e-07
464,24.6,5.361280472904184e-07
465,24.8,4.63386327531623e-07
466,24.8,4.1753756652163077e-07
467,24.8,3.815387622507771e-07
468,24.9,3.6420235394185596e-07
469,25,3.829868306937101e-07
470,25,3.261193063375245e-07
471,25.1,2.9697274106510463e-07
472,25.1,3.1919384224643466e-07
473,25.1,3.7209174441610315e-07
474,25.1,4.2947034828433317e-07
475,25.1,4.761031443534236e-07
476,25,5.080294198656077e-07
477,25,5.167713084119896e-07
478,25.1,5.689408993925227e-07
479,25.3,8.927563199812028e-07
480,25.4,9.050959578482676e-07
481,25.3,6.919746839972873e-07
482,25,5.312591968564817e-07
483,24.9,5.027411643654389e-07
484,24.9,4.931180038747485e-07
485,24.8,4.599370294622318e-07
486,24.8,4.2546129785936415e-07
487,24.6,3.8171871252767886e-07
488,24.5,3.3288340250958726e-07
489,24.5,2.5434731132367716e-07
490,24.6,2.5287609095592245e-07
491,24.5,5.838358754228778e-07
492,24.5,6.96163738989064e-07
493,24.6,6.733473515430077e-07
494,24.8,5.772685826022084e-07
495,24.8,5.088504253514259e-07
496,24.8,4.940203696124357e-07
497,24.8,4.961860005092689e-07
498,24.8,5.045526214608742e-07
499,24.8,5.181457737313266e-07
500,24.8,5.249790749894956e-07
501,24.6,5.262143755180304e-07
502,25,5.020095747987341e-07
503,24.9,4.4656053255209827e-07
504,25,4.002473416031549e-07
505,25,3.647345158119819e-07
506,25,3.529306765726048e-07
507,25.1,3.5277481225115537e-07
508,25,3.686440547268077e-07
509,25.1,4.0133648682161294e-07
510,25,4.3535858129661875e-07
511,25.1,4.5043499885544236e-07
512,25.1,4.4855356495787646e-07
513,25.1,4.4603838034174004e-07
514,25.4,4.4662804621342644e-07
515,25.3,4.5504657730788267e-07
516,25.4,4.766729182481555e-07
517,25.5,4.878908945737948e-07
518,25.8,4.991678643762043e-07
519,25.5,5.132620044534519e-07
520,25.5,5.480997238294094e-07
521,25.5,5.912912068861687e-07
522,25.4,6.430796728462695e-07
523,25.4,6.856598552262838e-07
524,25.3,7.114445680356241e-07
525,25.1,7.078313444264239e-07
526,25,6.828662046931555e-07
527,25.3,6.572664205117817e-07
528,25.3,7.00558455246636e-07
529,25.1,7.510599437932086e-07
530,25.4,8.448248229875333e-07
531,25.8,1.0151059862684164e-06
532,25.6,1.1724901813892075e-06
533,25.5,1.2565680319598371e-06
534,25.5,1.3872538866532835e-06
535,25.3,1.6029094668246202e-06
536,25.3,1.8870087117317524e-06
537,25.3,2.1665814108340342e-06
538,25.1,2.407522225356118e-06
539,25.3,2.5981180473699794e-06
540,25.5,2.6790182372504745e-06
541,25.6,2.6837103634935744e-06
542,25.4,2.5788312248975487e-06
543,25.4,2.3983729968701795e-06
544,25.3,2.2685831112534416e-06
545,25.4,2.1592150301064095e-06
546,25.6,2.1001698335965102e-06
547,25.4,2.1120303207444735e-06
548,25.3,2.252353925369377e-06
549,25.3,2.480064092980072e-06
550,25.1,2.685872309560189e-06
551,25.1,2.841001501718843e-06
552,25.4,2.963692727564471e-06
553,25.3,3.138933572510716e-06
554,25.3,3.26085633917117e-06
555,25.1,3.3356977641174623e-06
556,25,3.398787116970503e-06
557,25.1,3.399673828230476e-06
558,25.4,3.321582160653591e-06
559,25.3,3.2075010819587746e-06
560,25.1,3.0722411344941136e-06
561,25.1,2.9781281380980573e-06
562,25,2.909516951810076e-06
563,25.1,2.936836730915715e-06
564,25,2.974253648257985e-06
565,25,2.6821950862565558e-06
566,25.1,2.394537512051542e-06
567,25.1,2.189305273625486e-06
568,25,2.0487556799952955e-06
569,25.1,1.9815766115760525e-06
570,25.1,2.0334524719611835e-06
571,25.3,2.086422832725532e-06
572,25.3,2.183469783534342e-06
573,25.3,2.2939076298467143e-06
574,25.1,2.399670761543682e-06
575,25.3,2.546720045293327e-06
576,25.1,2.8824258527793134e-06
577,25.1,3.2131210050412307e-06
578,25.1,3.1759418358534575e-06
579,24.8,3.072962606598395e-06
580,25.1,2.8447178588297817e-06
581,25.1,2.4696580455119133e-06
582,25.5,2.2343545336145354e-06
583,25.9,2.3363631689310438e-06
584,25.6,2.3994173096175686e-06
585,25.3,2.3962920261411114e-06
586,25.1,2.3363640505591476e-06
587,25.1,2.3836499446483472e-06
588,25.1,2.544725441255835e-06
589,25.4,2.664850750622172e-06
590,25.3,2.669344717376454e-06
591,25.3,2.552673961098151e-06
592,25.4,2.3597884492021493e-06
593,25.4,2.067888527079731e-06
594,25.3,1.8823926412059322e-06
595,25.4,1.9168719699313996e-06
596,25.3,2.1100029168330536e-06
597,25.3,2.1633713854773973e-06
598,25.4,2.127258952433486e-06
599,25.5,2.13730284503999e-06
600,25.4,2.272979431339195e-06
601,25.3,2.4287953578339128e-06
602,25.4,2.490085842299372e-06
603,25.6,2.448785667241715e-06
604,25.6,2.3554783751267294e-06
605,25.4,2.182254396410066e-06
606,25,1.916894676434744e-06
607,25,1.7190223446927888e-06
608,24.9,1.5120662454348732e-06
609,25,1.2937877108543105e-06
610,25,1.1873791796457311e-06
611,25,1.30410422349847e-06
612,25,4.478813308228524e-06
613,24.9,4.374720137811927e-06
614,24.9,4.2815045531163776e-06
615,25,4.191595690539174e-06
616,25,4.322496418907029e-06
617,25.4,5.090529710760627e-06
618,25.4,6.66576064867197e-06
619,25.3,8.797743407451541e-06
620,25.4,1.1573920804863747e-05
621,26.3,1.5494148984607214e-05
622,27.5,1.999378004313712e-05
623,29.6,2.158623191150788e-05
624,32.8,2.39302564718491e-05
625,37.6,1.9865239606287055e-05
626,40,2.233830908793255e-05
627,38.4,2.904237320444647e-05
628,38.3,3.0017336916210446e-05
629,38.4,2.6029853302689254e-05
630,38.6,2.3903644483791453e-05
631,38.5,2.8112355848874948e-05
632,38.5,4.6766706570555705e-05
633,38.6,9.138566870992015e-05
634,38.6,0.00013392455454264152
635,38.5,0.00014476099671789644
636,37.5,0.0001339301436807938
637,35.1,0.00011470736836849404
638,32.8,9.47119256899942e-05
639,30.5,7.676908836196095e-05
640,28.4,6.301662006680253e-05
641,26.1,5.32392018186556e-05
642,24.9,4.354087723779099e-05
643,24.4,3.496668898106403e-05
644,24.3,4.406713977345156e-05
645,24.4,9.439020223378503e-05
646,24.4,0.0001408478426931925
647,24.4,0.00015333713237719593
648,24.3,0.00015047945467427937
649,24.3,0.00014722698004288048
650,24.3,0.0001495829003559379
651,24.1,0.00015641495564333585
652,24.3,0.00016087682494592137
653,24.3,0.0001599054496402852
654,24.3,0.0001537740742666438
655,24.3,0.0001424915989188813
656,24.1,0.0001267012241181753
657,24.1,0.00010957088238450208
658,24,9.397252955578583e-05
659,24,8.173339243433553e-05
660,24.1,7.329259154564838e-05
661,24.1,6.814779024133522e-05
662,24.1,6.543058809116431e-05
663,24.1,6.430389696598926e-05
664,24.4,6.424440537877718e-05
665,24.5,6.541373530366545e-05
666,24.5,6.845184956438821e-05
667,24.5,7.377673208619484e-05
668,24.6,8.206617311146136e-05
669,24.6,9.399371311202831e-05
670,24.8,0.00010980845122321448
671,24.8,0.00012821233262916287
672,24.6,0.0001462105870202457
673,24.6,0.00015989107521374724
674,24.6,0.00016534872833073866
675,24.6,0.00016072640266351357
676,24.6,0.00014983417052205628
677,24.8,0.00014569073481895956
678,24.6,0.00015312452290749956
679,24.6,0.00016425439599276892
680,24.6,0.00016441448140835924
681,24.6,0.00010506553581157707
682,24.6,3.534133328586542e-05
683,24.8,0.00011187030472137316
684,24.6,0.00019893546218374691
685,24.9,0.0002920272226214493
686,25.5,0.00041660744054294874
687,26.6,0.0005370729906500893
688,28.5,0.0006393749426348849
689,31.1,0.0007283916575805405
690,35,0.0008154432115657917
691,43,0.0008905822369790206
692,43.9,0.0009002074432193918
693,42.6,0.0006688190411296979
694,49.8,0.0002888388245194662
695,64.9,0.00025140719401106626
696,80.8,0.00025676304138422257
697,86,0.00016674931695315198
698,90.1,0.00015653756665412466
699,92.1,0.00026755481531537395
700,92.5,0.0003532072793355212
701,92.6,0.00038664829282020197
702,92.6,0.00043121766957432417
703,92.6,0.0005212034088105666
704,92.6,0.0006006230785833289
705,92.6,0.0006157080418774941
706,92.5,0.0005747589171859468
707,92.4,0.0005005802545910987
708,92.5,0.0004170198165717176
709,92.6,0.00034608991696127855
710,92.5,0.0002941954403986591
711,92.6,0.00025738194491986555
712,92.5,0.00023548738731138386
713,92.5,0.0002319026649305611
714,92.5,0.0002506139620518377
715,92.5,0.0002844620818063248
716,92.6,0.000312245004085443
717,92.6,0.00032073861273040905
718,92.8,0.0003132401545153929
719,92.6,0.00029520623852441474
720,92.6,0.0002712421082963212
721,92.6,0.0002453922502960726
722,92.6,0.00022071433037429422
723,92.6,0.0001995443515899753
724,92.6,0.00018221813720831204
725,92.6,0.0001684096212072328
726,92.6,0.0001574425669376156
727,92.5,0.0001485768308471247
728,92.6,0.00014126024525906722
729,92.5,0.0001350754345191829
730,92.5,0.00012972860026760902
731,92.5,0.00012495420260072443
732,92.5,0.0001206230832506705
733,92.4,0.00011674465309186033
734,92.4,0.00011333845908212403
735,92.5,0.00011044027117823596
736,92.5,0.00010864558234280342
737,92.5,0.0001092489010763309
738,92.5,0.00011360805817450803
739,92.5,0.00012228910747558164
740,92.5,0.00013444942482343514
741,92.6,0.00014792600719781834
742,92.6,0.00016022188641873214
743,92.6,0.00017159565925606302
744,92.6,0.00017771868504090627
745,92.8,0.00016861957623959256
746,92.8,0.00013979396741048422
747,92.8,0.00010156886546119903
748,92.8,7.094269967589106e-05
749,92.8,4.9279641581967404e-05
750,92.9,3.663234187512021e-05
751,92.8,3.093061037995337e-05
752,92.9,2.967409816023725e-05
753,92.9,3.1153066976208343e-05
754,92.9,3.412135016100937e-05
755,92.9,3.7633432391270816e-05
756,92.9,4.1354907311386135e-05
757,92.9,4.163833888903845e-05
758,93,3.541768794357303e-05
759,93,2.299329220745161e-05
760,93,2.1670151740038612e-05
761,93,3.6430646566776304e-05
762,93,3.109945844481654e-05
763,93.1,1.969774004850766e-05
764,93.1,1.1869700823785578e-05
765,93.1,6.780461316524544e-06
766,93.1,3.551024927106461e-06
767,93.1,1.5070259133942443e-06
768,93.3,5.037674164487527e-07
769,93.3,2.0432289549177085e-07
770,93.3,2.149499439552116e-07
771,93.4,2.574699519142243e-07
772,93.4,2.8028194731799516e-07
773,93.5,9.480360163571788e-08
774,93.5,3.751979216204404e-08
775,93.5,3.400089298999376e-08
776,93.5,3.484892052707522e-08
777,93.5,4.4380883301720075e-08
778,94.4,6.564658816543556e-08
779,95,1.0444656717290002e-07
780,95.4,1.2017510808703946e-07
781,95.6,9.766089759111196e-08
782,95.8,8.239837068213518e-08
783,95.8,9.625740660101911e-08
784,95.9,1.0912600090229319e-07
785,95.9,1.1195297222599265e-07
786,95.9,1.0955974949489189e-07
787,95.9,1.0594341615099978e-07
788,95.9,1.0453293208811942e-07
789,95.9,1.0994401899999673e-07
790,95.9,1.2771100021957693e-07
791,96,1.6193936147601562e-07
792,95.9,2.1516737169768874e-07
793,96,2.4488477234907435e-07
794,95.9,2.50572023130502e-07
795,96,2.3464163745323674e-07
796,95.9,2.1212223433320077e-07
797,96,1.895208585622754e-07
798,95.9,1.7394457263453234e-07
799,95.9,1.668752972472376e-07
800,95.9,1.665039510712063e-07
801,95.9,1.6959500526159133e-07
802,95.9,1.737999607565044e-07
803,95.9,1.7888706616009387e-07
804,95.9,1.8499789156134483e-07
805,95.9,1.9078821111850885e-07
806,95.9,1.953728576697955e-07
807,95.9,1.9868899481245705e-07
808,95.8,2.009551450798952e-07
809,95.8,2.0216801266403905e-07
810,95.8,2.032096205750733e-07
811,95.9,2.0432328717845394e-07
812,95.9,2.0550040025213434e-07
813,95.9,2.0672942013799656e-07
814,95.9,2.0785570464809666e-07
815,95.9,2.0873411943345133e-07
816,95.9,2.0936607159072196e-07
817,95.9,2.096754464497863e-07
818,95.9,2.098636581182589e-07
819,95.9,2.0997501504194105e-07
820,95.9,2.09874239431862e-07
821,95.9,2.101369260820718e-07
822,95.9,2.1275387918073818e-07
823,95.9,2.1919118575741692e-07
824,95.9,2.3264022375180105e-07
825,95.8,2.5461913266688896e-07
826,95.8,2.8427477483106145e-07
827,95.8,3.147131109049184e-07
828,95.8,3.336537151010788e-07
829,95.8,3.144394741250167e-07
830,95.8,2.6923488938290774e-07
831,95.8,2.1295965935141936e-07
832,95.8,1.5771670969222384e-07
833,95.8,1.1658724408114551e-07
834,95.8,9.26279938306962e-08
835,95.8,7.881028851741689e-08
836,95.8,7.594051043557926e-08
837,95.6,7.868202123173518e-08
838,95.8,8.476552382230551e-08
839,95.8,9.113943322258677e-08
840,95.8,9.13129797330825e-08
841,95.8,6.767670224228084e-08
842,95.8,5.4908903757144856e-08
843,95.8,1.516530353518064e-07
844,95.8,1.1731490168198633e-07
845,95.9,8.48902553807207e-08
846,95.9,5.785966550320154e-08
847,96,4.051345947608809e-08
848,96,2.7381589884356572e-08
849,96,2.002674204248933e-08
850,96,1.588963505216867e-08
851,96,1.4344956555945032e-08
852,96,1.5785096341147664e-08
853,96.1,1.6836239513651208e-08
854,96.1,1.4697563943677494e-08
855,96.1,5.716485951268169e-09
856,96.1,5.528909996499465e-09
857,96.1,8.196551881667347e-09
858,96.1,1.9792597005796608e-08
859,96.3,2.5900399491796122e-08
860,96.3,2.5781455637030604e-08
